"Código SIEX";"Código";"Categoría";"Nombre científico";"EPPO cd";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"563";"9.11.1";"Podredumbre bacteriana del avellano, Xanthomonas arboricola pv. corylina";"Xanthomonas arboricola pv. corylina";"XANTCY";;03/07/2024;03/07/2024;
"564";"9.11.2";"Podredumbre bacteriana del nogal, Xanthomonas arboricola pv. juglandis";"Xanthomonas arboricola pv. juglandis";"XANTJU";"También conocido comúnmente como mal seco del nogal, peste negra o tizón de las hojas y frutos del nogal.";03/07/2024;03/07/2024;
"565";"9.11.3";"Mancha bacteriana de los frutales de hueso y del almendro, Xanthomonas arboricola pv. pruni";"Xanthomonas arboricola pv. pruni";"XANTPR";;03/07/2024;03/07/2024;
"566";"9.11.4";"Podredumbre negra de las crucíferas, Xanthomonas campestris pv. campestris";"Xanthomonas campestris pv. campestris";"XANTCA";"También conocido comúnmente como nerviación negra de la col.";03/07/2024;03/07/2024;
"567";"9.11.5";"Quema bacteriana de la judía, Xanthomonas phaseoli pv. phaseoli";"Xanthomonas phaseoli pv. phaseoli";"XANTPH";"También descrito como Xanthomonas axonopodis pv. phaseoli.";03/07/2024;03/07/2024;
"568";"9.11.6";"Mancha aceitosa del fresal, Xanthomonas fragariae";"Xanthomonas fragariae";"XANTFR";;03/07/2024;03/07/2024;
"569";"9.11.7";"Mancha bacteriana del tomate, Xanthomonas vesicatoria";"Xanthomonas vesicatoria";"XANTKM";"También descrito como Xanthomonas campestris pv. vesicatoria.";03/07/2024;03/07/2024;
"570";"9.12";"Xylella spp.";"Xylella spp.";"1XYLEG";;03/07/2024;03/07/2024;
"571";"9.12.1";"Xylella fastidiosa";"Xylella fastidiosa";"XYLEFA";;03/07/2024;03/07/2024;
"572";"9.13";"Xylophilus spp.";"Xylophilus spp.";"1XLPHG";;03/07/2024;03/07/2024;
"573";"9.13.1";"Necrosis bacteriana de la vid, Xylophilus ampelinus";"Xylophilus ampelinus";"XANTAM";;03/07/2024;03/07/2024;
"574";"10";"Virus y fitoplasmas";"Viruses and phyoplasmas";"1VIUUD, 1PHYFG";"No existen medios químicos eficaces para la mayoría de las virosis de los vegetales, por lo que el control del material vegetal y de los vectores de estas enfermedades, así como las buenas prácticas de manejo de los cultivos, suelen ser los únicos medios disponibles. Por este motivo no se han incluido en la clasificación la mayoría de las enfermedades víricas y causadas por viroides y fitoplasmas.";03/07/2024;03/07/2024;
"575";"10.1";"Virus del mosaico del pepino";"Cucumber mosaic virus (CMV)";"CMV000";"También conocido comúnmente como virus del mosaico de las cucurbitáceas.";03/07/2024;03/07/2024;
"576";"11";"Nematodos";"Nematoda";"1NEMAP";;03/07/2024;03/07/2024;
"577";"11.1";"Aphelenchoides spp.";"Aphelenchoides spp.";"1APLOG";"Incluye especies del género Aphelenchoides como A.besseyi, A.fragariae y A.composticola.";03/07/2024;03/07/2024;
"578";"11.2";"Nematodos del quiste de la patata, Globodera spp.";"Globodera spp.";"1GLOBG";"Incluye especies del género Globodera como G.rostochiensis, G.pallida y G.tabacum.";03/07/2024;03/07/2024;
"579";"11.3";"Nematodo la madera del pino, Bursaphelenchus xylophilus";"Bursaphelenchus xylophilus";"BURSXY";;03/07/2024;03/07/2024;
"580";"11.4";"Ditylenchus spp.";"Ditylenchus spp.";"1DITYG";"Incluye especies del género Ditylenchus como D.destructor, D.dipsaci y D.myceliophagus.";03/07/2024;03/07/2024;
"581";"11.5";"Helicotylenchus spp.";"Helicotylenchus spp.";"1HELIG";;03/07/2024;03/07/2024;
"582";"11.6";"Nematodos del quiste, Heterodera spp.";"Heterodera spp.";"1HETDG";"Incluye especies del género Heterodera como H.avenae, H.cruciferae y H.schachtii.";03/07/2024;03/07/2024;
"583";"11.7";"Nematodos de los nódulos, Meloidogyne spp.";"Meloidogyne spp.";"1MELGG";"Incluye especies del género Meloidogyne como M.incognita, arenaria, M.hapla, M.javanica y M.chitwoodi.";03/07/2024;03/07/2024;
"584";"11.8";"Pratylenchus spp.";"Pratylenchus spp.";"1PRATG";"Incluye especies del género Pratylenchus como P.penetrans, P.coffeae, P.goodeyi y P.vulnus.";03/07/2024;03/07/2024;
"585";"11.9";"Rhabditis spp.";"Rhabditis spp.";"1RHATG";;03/07/2024;03/07/2024;
"586";"11.10";"Nematodo de los cítricos, Tylenchulus semipenetrans";"Tylenchulus semipenetrans";"TYLESE";;03/07/2024;03/07/2024;
"587";"11.11";"Xiphinema spp.";"Xiphinema spp.";"1XIPHG";"Incluye especies del género Xiphinema como X.index,  X.americanum, X.diversicaudatum, , X.italiae y X.pachtaicum.";03/07/2024;03/07/2024;
"588";"8.10.1.1";"Negrilla, fumagina, Capnodium citri";"Capnodium citri";"CAPDCI";;03/07/2024;03/07/2024;
"589";"8.18.1.1";"Chancro de los frutales de hueso, Cytospora cincta";"Cytospora cincta";"VALSCI";"También descrito como Valsa cincta.";03/07/2024;03/07/2024;
